"Geneid","Length","NT_shRNA_hepg2_rep1","NT_shRNA_hepg2_rep2","TARDBP_shRNA_hepg2_rep1","TARDBP_shRNA_hepg2_rep2"
"ENSG00000066248.14_4",4678,517,735,899,763
"ENSG00000222001.2_5",813,25,19,19,23
"ENSG00000168918.13_3",6914,1178,1505,1688,1600
"ENSG00000085978.21_3",6047,1014,1071,914,916
"ENSG00000251791.1",265,6,4,4,4
"ENSG00000077044.10_3",9771,1077,1302,1174,1066
"ENSG00000085982.13_2",9352,1427,1588,896,830
"ENSG00000167165.18_4",5180,1,1,8,12
"ENSG00000243135.6_3",2364,0,0,7,1
"ENSG00000228445.1_2",866,0,0,6,3
"ENSG00000241635.7_3",4467,12,13,82,89
"ENSG00000123485.11_4",3821,1565,1732,332,266
"ENSG00000188042.7_3",4013,37,25,12,14
"ENSG00000280744.1_2",331,49,29,14,24
"ENSG00000130147.15_3",7129,4658,4557,2656,2756
"ENSG00000157985.18_4",13910,1702,2011,1647,1473
"ENSG00000235529.1_5",664,4,9,5,4
"ENSG00000124835.2_5",2231,8,5,6,5
"ENSG00000227252.1_4",2341,32,45,42,28
"ENSG00000198612.10_2",4743,1427,1481,931,847
"ENSG00000124839.12_2",4783,1323,1860,1747,1516
"ENSG00000234949.2_5",1656,6,4,5,2
"ENSG00000124831.18_4",11901,3705,3851,2513,2478
"ENSG00000177483.11_4",6049,15,18,7,3
"ENSG00000132329.10_3",1234,9,7,29,30
"ENSG00000184182.18_3",4238,183,181,149,143
"ENSG00000132330.16_3",11733,128,135,155,137
"ENSG00000144488.14_2",5362,20,15,16,9
"ENSG00000132323.8_2",4771,301,319,311,224
"ENSG00000144485.10_4",2037,78,163,107,103
"ENSG00000132326.11_3",6877,645,759,765,673
"ENSG00000232306.2_3",982,6,3,7,5
"ENSG00000204104.11_2",4617,1145,1224,815,748
"ENSG00000065802.11_2",7410,1091,1420,1092,1009
"ENSG00000068024.16_3",13368,619,741,558,499
"ENSG00000222020.2_4",613,3,6,3,1
"ENSG00000130414.11_3",9517,3715,3550,3125,3568
"ENSG00000172428.10_5",2039,107,141,126,108
"ENSG00000063660.8_3",6516,408,431,449,402
"ENSG00000218416.4_4",3235,16,11,3,4
"ENSG00000144504.15_3",11477,395,501,366,356
"ENSG00000188542.9_2",3709,56,91,72,63
"ENSG00000142327.12_5",7867,426,654,806,622
"ENSG00000260942.1_5",4000,52,64,51,64
"ENSG00000142330.19_3",7474,267,372,296,270
"ENSG00000178623.11_3",5089,218,293,354,276
"ENSG00000130294.16_4",16695,9,4,10,8
"ENSG00000172482.4_2",4459,284,556,315,221
"ENSG00000172478.17_6",2772,20,32,41,24
"ENSG00000233392.5_5",2656,28,83,154,147
"ENSG00000162804.13_4",13592,10,13,4,4
"ENSG00000122085.16_3",9938,1289,1409,1138,1079
"ENSG00000115687.13_2",10686,628,748,383,308
"ENSG00000115685.14_3",3781,854,884,638,571
"ENSG00000146205.13_3",5695,223,292,218,241
"ENSG00000115677.16_5",12182,24113,29174,22881,20809
"ENSG00000268485.1",1532,11,28,17,12
"ENSG00000266621.1",98,2,1,5,3
"ENSG00000168385.17_3",7378,21191,21487,10923,9914
"ENSG00000006607.13_4",14413,929,1031,898,829
"ENSG00000224232.1_5",678,4,5,0,0
"ENSG00000115694.14_3",7584,1848,2382,2050,1758
"ENSG00000176720.5_5",2711,532,728,969,948
"ENSG00000273113.1_5",805,3,3,5,6
"ENSG00000176946.11_2",3147,1147,1426,866,759
"ENSG00000168397.16_3",6638,1766,2181,2413,2171
"ENSG00000168393.12_3",2451,437,586,218,219
"ENSG00000168395.15_5",10259,1219,1639,1044,873
"ENSG00000180902.17_3",5279,581,715,852,902
"ENSG00000154252.11_2",1370,41,75,47,27
"ENSG00000215023.2_5",739,2,1,6,6
"ENSG00000224272.2_5",2132,67,81,89,56
"ENSG00000204099.11_4",4674,575,841,899,863
"ENSG00000188389.10_3",2114,5,4,0,1
"ENSG00000237940.3_5",2854,4,0,5,6
"ENSG00000220804.8_5",1587,124,126,74,95
"ENSG00000271153.1",454,6,1,0,0
"ENSG00000144619.14_3",9120,1,5,1,3
"ENSG00000072756.16_2",5518,572,599,495,428
"ENSG00000113851.14_3",8068,476,486,413,405
"ENSG00000271870.1_5",494,20,21,24,15
"ENSG00000223727.6_5",1337,0,1,3,5
"ENSG00000144455.13_3",6952,233,327,614,481
"ENSG00000170364.12_2",3567,234,203,107,116
"ENSG00000231249.1_5",858,25,22,36,24
"ENSG00000150995.19_5",32454,541,631,345,349
"ENSG00000235831.6_5",2717,1,6,1,3
"ENSG00000134107.4_2",3837,1817,2759,1896,1918
"ENSG00000134108.12_2",3576,1451,1453,1113,948
"ENSG00000233912.1_6",672,9,13,15,9
"ENSG00000134109.10_2",6758,1261,1295,1832,1605
"ENSG00000189229.10_6",3023,13,10,8,10
"ENSG00000227110.6_6",6458,6,5,4,8
"ENSG00000071282.11_2",9130,142,156,52,45
"ENSG00000125046.14_4",6279,531,708,758,726
"ENSG00000180914.10_2",4514,88,108,32,42
"ENSG00000070950.9_3",6983,491,553,129,127
"ENSG00000196220.15_4",18924,35,29,33,41
"ENSG00000254485.5_6",1649,4,6,2,1
"ENSG00000206573.8_6",6275,424,421,450,381
"ENSG00000134077.15_3",5365,804,897,598,548
"ENSG00000168137.15_4",10808,4417,4935,4006,3998
"ENSG00000156959.8_2",5329,2,0,8,8
"ENSG00000163719.19_5",6019,502,602,483,486
"ENSG00000156983.15_4",5477,753,734,604,558
"ENSG00000114026.21_5",8733,848,847,615,646
"ENSG00000134072.10_2",2720,254,337,282,298
"ENSG00000171148.13_2",4234,1413,1695,905,924
"ENSG00000241553.12_3",3608,196,226,169,178
"ENSG00000214021.15_4",10365,1922,1894,1170,1253
"ENSG00000156990.14_3",5348,402,507,388,351
"ENSG00000187288.10_2",1926,38,47,141,145
"ENSG00000171135.14_4",1781,334,400,482,390
"ENSG00000163701.18_3",4676,386,419,547,582
"ENSG00000163702.19_4",4540,148,166,232,213
"ENSG00000163703.17_3",3778,593,824,1133,971
"ENSG00000269894.1_6",553,12,9,10,10
"ENSG00000163704.11_2",3939,15,10,12,24
"ENSG00000230082.1_5",614,61,66,70,57
"ENSG00000269982.1_5",3823,79,81,103,96
"ENSG00000125037.12_3",4270,399,462,491,456
"ENSG00000180385.8_4",3714,206,272,118,111
"ENSG00000206567.9_6",2533,28,20,27,34
"ENSG00000186162.10_2",3017,59,83,95,93
"ENSG00000144554.10_2",8378,716,852,261,193
"ENSG00000254999.3_2",1233,1031,1153,1191,1158
"ENSG00000134086.7_2",4213,941,1265,590,571
"ENSG00000134070.4_3",3483,281,344,482,431
"ENSG00000157014.10_3",5572,126,167,157,114
"ENSG00000231177.4_6",1328,31,31,26,17
"ENSG00000240288.7_5",1712,40,40,26,13
"ENSG00000157020.17_3",5446,2567,3509,2705,2338
"ENSG00000157087.18_4",10331,348,455,1672,1580
"ENSG00000132164.9_2",6700,1180,1272,1935,1984
"ENSG00000197548.12_2",8833,172,189,113,127
"ENSG00000144560.14_5",7236,1466,1345,856,777
"ENSG00000144559.10_3",5925,282,296,177,195
"ENSG00000157150.4_2",1650,6,0,1,1
"ENSG00000132170.20_4",4535,338,434,429,426
"ENSG00000154743.17_3",5667,367,408,249,242
"ENSG00000251774.1",102,2,0,1,5
"ENSG00000075975.15_2",2848,577,587,607,459
"ENSG00000132155.11_3",7847,1316,1612,1313,1352
"ENSG00000213943.3_4",1279,9,15,5,2
"ENSG00000272263.1_5",510,0,5,3,2
"ENSG00000144713.12_2",3720,5561,7244,7124,6356
"ENSG00000144711.15_5",8550,2997,3629,3712,3639
"ENSG00000132182.11_2",8182,2552,3185,4348,4019
"ENSG00000163517.14_4",5281,224,363,283,260
"ENSG00000163520.13_4",4812,7,3,0,2
"ENSG00000163528.12_4",1772,397,475,259,236
"ENSG00000170876.7_3",3572,1296,1499,1220,1120
"ENSG00000268279.4_6",1335,1,5,6,3
"ENSG00000154767.14_3",4798,1307,1374,848,842
"ENSG00000170860.3_2",3815,782,888,352,331
"ENSG00000131389.17_3",8252,1351,1525,953,868
"ENSG00000144596.12_3",11884,10,5,18,10
"ENSG00000154781.15_2",3556,521,572,530,515
"ENSG00000131379.9_2",3492,7,3,4,5
"ENSG00000225733.5_5",5131,1911,2037,1558,1368
"ENSG00000177463.15_3",11821,831,922,732,640
"ENSG00000131368.7_2",5383,1184,1379,1141,1064
"ENSG00000131381.12_3",7921,500,554,485,414
"ENSG00000230524.8_2",4566,6,16,12,12
"ENSG00000131375.9_2",5598,1358,1403,1264,1186
"ENSG00000224660.1_5",5733,408,332,423,428
"ENSG00000131370.15_4",4159,20,13,4,9
"ENSG00000206562.11_3",5714,230,277,193,182
"ENSG00000144597.13_2",5152,917,986,807,737
"ENSG00000206561.12_5",4175,8,8,11,11
"ENSG00000131373.14_2",3055,212,213,223,164
"ENSG00000169814.13_3",5840,241,273,313,329
"ENSG00000206560.11_3",11276,797,925,780,741
"ENSG00000224728.1_4",1525,4,4,4,7
"ENSG00000154813.9_2",3562,674,630,830,717
"ENSG00000154814.13_3",6095,243,261,249,238
"ENSG00000131378.13_5",4776,10,3,5,6
"ENSG00000271964.1_6",549,1,4,6,4
"ENSG00000272498.1_6",564,14,23,24,33
"ENSG00000272529.1_6",551,21,17,16,14
"ENSG00000131374.14_4",11269,1572,1812,1085,935
"ENSG00000233133.1_5",176,0,0,1,5
"ENSG00000182568.16_4",13409,21,14,6,9
"ENSG00000236570.1_4",1227,1,6,2,5
"ENSG00000163576.17_3",4163,3,6,4,6
"ENSG00000144566.10_3",3785,1381,1401,1295,1221
"ENSG00000114166.7_2",5634,74,78,103,100
"ENSG00000129810.14_5",3828,433,492,100,99
"ENSG00000151789.11_4",13621,3,4,6,1
"ENSG00000132967.9_4",1111,219,231,74,82
"ENSG00000182247.9_3",3274,45,42,33,32
"ENSG00000170142.11_3",3074,827,815,687,625
"ENSG00000197885.10_2",3473,190,160,202,182
"ENSG00000174748.20_5",7222,5326,6292,7582,6945
"ENSG00000174738.12_2",5820,340,369,681,635
"ENSG00000151090.18_5",10968,787,887,1011,994
"ENSG00000228791.7_5",6386,16,9,13,18
"ENSG00000272554.1_5",809,37,41,64,46
"ENSG00000077092.18_4",3697,9,3,8,2
"ENSG00000077097.15_4",6044,4203,4726,2552,2179
"ENSG00000151092.16_3",8326,660,745,439,394
"ENSG00000151093.7_2",2486,167,232,134,152
"ENSG00000163491.16_3",9582,135,160,279,244
"ENSG00000033867.16_4",9616,1162,1276,541,481
"ENSG00000213846.5_5",2452,129,112,75,83
"ENSG00000163508.12_3",3656,12,14,5,8
"ENSG00000187118.13_3",10533,222,247,165,154
"ENSG00000163512.13_2",6349,574,642,510,493
"ENSG00000163513.17_3",4704,9240,9238,6866,6643
"ENSG00000261468.1_5",1916,84,88,141,107
"ENSG00000163527.9_2",5012,7512,7462,5356,5092
"ENSG00000144645.13_3",11976,758,701,337,328
"ENSG00000197385.5_2",3263,79,83,43,32
"ENSG00000152642.10_3",4802,496,530,297,257
"ENSG00000261572.1_5",1891,69,61,102,99
"ENSG00000170293.8_3",1174,66,101,145,147
"ENSG00000153551.13_2",3751,327,416,239,203
"ENSG00000091317.7_2",4413,1306,1312,1125,1013
"ENSG00000144635.8_2",6132,731,798,382,348
"ENSG00000182973.18_4",4846,772,865,551,565
"ENSG00000213842.2_4",992,4,4,5,2
"ENSG00000227337.1_4",471,7,13,10,10
"ENSG00000206557.5_2",8685,4258,5246,2246,2042
"ENSG00000183813.6_2",3095,1,1,3,5
"ENSG00000170266.15_3",4364,2229,2362,3519,3523
"ENSG00000188167.8_3",3966,121,93,83,67
"ENSG00000170275.14_3",6695,1851,2014,1872,1968
"ENSG00000153558.15_4",7664,69,66,28,29
"ENSG00000153560.11_2",9760,4833,4940,4339,4455
"ENSG00000163539.16_3",15211,844,993,639,578
"ENSG00000271643.2_5",4524,95,95,84,87
"ENSG00000170248.14_3",9038,2945,3018,1962,1887
"ENSG00000230067.3_4",2179,13,20,10,12
"ENSG00000168016.14_5",12174,22,32,34,34
"ENSG00000178567.7_2",8126,1602,1680,2041,1956
"ENSG00000076242.14_2",3532,1127,1299,527,533
"ENSG00000224858.5_4",492,6,10,6,11
"ENSG00000093167.17_4",10644,1037,1101,377,325
"ENSG00000224080.1_4",447,2,6,10,4
"ENSG00000271993.1_5",628,3,0,6,2
"ENSG00000144674.16_4",10737,8565,9999,5556,5121
"ENSG00000230409.3_4",906,69,61,36,54
"ENSG00000198590.11_4",3072,30,44,44,41
"ENSG00000144668.11_3",8277,2,2,5,0
"ENSG00000235257.8_6",6651,19,37,36,28
"ENSG00000236411.1_4",525,2,1,0,5
"ENSG00000144677.14_3",5796,1257,1766,1370,1275
"ENSG00000136059.14_2",6476,4,8,17,1
"ENSG00000187091.13_3",4314,143,191,160,151
"ENSG00000060971.17_3",7106,1285,1827,2133,1839
"ENSG00000172936.13_5",3989,2090,2100,1688,1795
"ENSG00000172939.8_2",6075,1432,1734,1006,868
"ENSG00000093217.10_3",6318,1476,1682,1834,1843
"ENSG00000229589.1_5",2517,66,84,103,95
"ENSG00000114739.13_2",15744,954,1029,916,859
"ENSG00000157036.12_3",5223,237,270,235,188
"ENSG00000114742.13_3",7488,1348,1465,1180,1072
"ENSG00000114745.13_2",6256,592,689,515,476
"ENSG00000168026.18_4",7677,26,26,35,33
"ENSG00000144655.14_2",3214,126,205,159,151
"ENSG00000223668.1_4",1378,9,7,5,21
"ENSG00000144659.12_4",2708,552,612,547,527
"ENSG00000168028.13_3",3936,4876,6012,6474,5959
"ENSG00000170011.13_2",5872,36,49,96,76
"ENSG00000280739.2_2",5433,27,28,10,14
"ENSG00000114784.3_2",1912,1083,1258,1179,1125
"ENSG00000223797.5_6",2961,12,28,22,23
"ENSG00000188846.13_3",8626,7830,8951,7961,7880
"ENSG00000177873.12_2",4514,111,135,60,70
"ENSG00000177842.12_3",3783,126,135,84,68
"ENSG00000172888.11_2",8354,1428,1464,1154,1053
"ENSG00000234287.1_5",255,10,11,10,13
"ENSG00000168036.17_5",11927,4669,5344,3439,3115
"ENSG00000168038.10_3",6579,94,95,48,50
"ENSG00000182606.14_4",10992,2626,3168,2331,2077
"ENSG00000093183.13_4",8159,857,956,843,803
"ENSG00000008324.11_2",1298,103,108,76,64
"ENSG00000114857.17_2",17356,5602,5869,5404,4863
"ENSG00000114853.13_2",3781,56,65,66,81
"ENSG00000225611.1_5",897,1,5,9,13
"ENSG00000181061.13_3",1675,740,776,517,499
"ENSG00000144648.15_3",5457,75,88,102,97
"ENSG00000273328.5_6",3933,2,1,4,12
"ENSG00000180432.5_2",4441,34,73,141,136
"ENSG00000144647.5_2",2668,608,586,453,445
"ENSG00000163788.13_2",6981,536,657,506,451
"ENSG00000234617.2_5",2324,13,12,16,7
"ENSG00000160746.12_3",5287,601,607,512,468
"ENSG00000223916.1_5",515,10,13,9,8
"ENSG00000011198.9_4",7549,130,144,154,133
"ENSG00000179152.19_2",8743,659,576,558,504
"ENSG00000225873.4_5",1204,13,15,13,16
"ENSG00000185219.16_2",18871,1280,1421,1276,1127
"ENSG00000178917.16_4",4480,165,171,107,106
"ENSG00000196345.12_3",4208,169,147,167,139
"ENSG00000144792.9_3",6513,139,169,120,102
"ENSG00000214820.3_4",1089,1,5,2,1
"ENSG00000186448.14_3",6767,265,293,303,251
"ENSG00000169981.10_3",2663,3,11,7,8
"ENSG00000186446.11_2",3910,65,96,46,52
"ENSG00000163807.5_2",5259,827,1002,557,567
"ENSG00000163808.16_3",5285,1050,1144,229,207
"ENSG00000169964.7_3",3106,91,98,85,67
"ENSG00000163810.11_3",5443,10,12,7,6
"ENSG00000163812.13_3",7609,1610,1697,1403,1453
"ENSG00000075914.12_3",4442,298,317,258,207
"ENSG00000163814.7_3",6507,42,27,7,9
"ENSG00000224094.1_4",402,13,21,20,22
"ENSG00000011376.10_5",6829,939,1158,613,547
"ENSG00000144791.9_3",12673,819,887,556,513
"ENSG00000230530.1_4",1651,8,3,1,5
"ENSG00000211456.10_2",7352,976,1030,894,865
"ENSG00000163818.16_3",7201,305,345,249,221
"ENSG00000163820.14_2",8895,1065,1104,885,907
"ENSG00000163827.12_3",5622,32,32,47,46
"ENSG00000268324.2_4",2297,0,1,3,9
"ENSG00000241186.9_3",3006,190,208,212,220
"ENSG00000273682.1_5",129,2,1,1,6
"ENSG00000160799.11_4",4754,481,548,303,262
"ENSG00000160796.16_2",9819,1399,1442,1237,1250
"ENSG00000181555.20_6",10099,3310,3628,2320,2165
"ENSG00000227398.3_5",4898,32,25,27,20
"ENSG00000088727.12_3",5850,76,86,42,42
"ENSG00000114648.11_2",7064,546,564,421,402
"ENSG00000280173.1_5",2124,43,32,32,50
"ENSG00000260236.1_5",1911,35,39,42,25
"ENSG00000076201.14_2",5981,1772,1988,1739,1706
"ENSG00000114650.19_3",6433,1404,1973,2389,2311
"ENSG00000163832.15_3",3313,272,288,195,177
"ENSG00000114646.9_4",4366,10,11,3,11
"ENSG00000173473.10_3",7645,5142,5924,3272,3050
"ENSG00000132153.14_2",7744,1379,1727,1082,1110
"ENSG00000047849.21_5",14943,8088,8781,3931,3830
"ENSG00000164045.11_3",4117,591,728,362,282
"ENSG00000164048.13_2",5521,495,534,297,301
"ENSG00000229759.1_4",589,0,3,5,2
"ENSG00000172113.9_4",7258,259,288,229,227
"ENSG00000164050.12_2",9733,3068,4025,5589,5165
"ENSG00000164051.13_4",2410,202,232,145,100
"ENSG00000232112.3_2",1139,2478,2384,1560,1568
"ENSG00000244380.1_6",1051,5,13,3,3
"ENSG00000164053.20_4",5431,155,187,122,113
"ENSG00000164054.15_4",4664,2508,2418,2120,2133
"ENSG00000114268.11_3",6107,651,1139,518,416
"ENSG00000145040.3_3",1481,21,31,12,9
"ENSG00000114270.17_3",11071,491,654,467,409
"ENSG00000010256.10_2",3236,1671,2175,1471,1348
"ENSG00000183396.3_2",662,3,1,6,7
"ENSG00000225697.12_4",6373,1166,1599,2195,2063
"ENSG00000008300.16_3",13873,783,1008,940,865
"ENSG00000213672.7_4",3431,695,821,500,513
"ENSG00000068745.14_2",5624,1307,1605,1533,1429
"ENSG00000114302.15_3",6644,1765,1846,1401,1282
"ENSG00000224424.7_5",3917,19,29,23,27
"ENSG00000178537.9_2",1982,218,256,433,413
"ENSG00000221883.3_3",1604,5,3,5,5
"ENSG00000177479.19_2",8017,1751,1945,1405,1216
"ENSG00000178252.17_4",5304,1849,2227,2021,1664
"ENSG00000178149.16_4",3682,131,106,79,80
"ENSG00000178057.14_2",2434,113,148,132,117
"ENSG00000178035.11_2",2773,2925,3559,1736,1439
"ENSG00000198218.10_3",5499,2325,2690,1778,1670
"ENSG00000172053.17_2",4708,3504,4156,3890,3770
"ENSG00000172046.18_3",5731,785,984,747,658
"ENSG00000172037.13_2",6865,3699,4486,9261,8652
"ENSG00000270441.1_5",1799,5,0,2,1
"ENSG00000177352.9_2",1781,179,214,136,136
"ENSG00000185909.14_2",2158,144,188,151,121
"ENSG00000188315.7_5",4813,115,138,129,116
"ENSG00000114316.12_4",6659,577,683,494,442
"ENSG00000233276.4_5",1430,825,993,657,598
"ENSG00000067560.10_3",2582,6598,6554,3715,3749
"ENSG00000145022.4_2",2747,160,184,177,122
"ENSG00000145020.15_5",5746,12,14,6,9
"ENSG00000173402.11_5",6923,11211,10617,8296,9212
"ENSG00000164061.4_3",16225,285,327,524,512
"ENSG00000164062.12_3",4669,1274,1724,1687,1497
"ENSG00000173531.15_3",5084,1171,1672,2297,2032
"ENSG00000164068.15_2",7458,955,1192,1336,1320
"ENSG00000173540.12_3",6742,320,377,256,193
"ENSG00000176095.11_2",5200,521,627,613,571
"ENSG00000187492.8_2",3163,6,8,3,4
"ENSG00000182179.12_3",4545,184,224,381,382
"ENSG00000183763.8_2",3263,245,281,104,84
"ENSG00000164076.16_3",3900,5,5,4,3
"ENSG00000164078.12_3",5252,2,6,3,2
"ENSG00000164077.14_5",6446,87,127,129,103
"ENSG00000004534.14_3",7302,3841,4677,3930,3566
"ENSG00000003756.16_5",10368,2294,2561,2504,2373
"ENSG00000001617.11_3",4826,767,836,533,555
"ENSG00000188338.14_3",3968,1846,2247,4759,4764
"ENSG00000114353.16_3",7650,2375,2528,1334,1382
"ENSG00000230454.1_5",2625,28,40,17,18
"ENSG00000012171.19_4",5767,2598,3108,1967,1890
"ENSG00000214706.10_3",3712,540,653,463,401
"ENSG00000186792.16_3",2030,162,179,140,144
"ENSG00000243477.5_4",2188,269,334,171,159
"ENSG00000114378.16_2",3132,2148,2650,2951,2816
"ENSG00000068001.13_5",4545,802,956,705,744
"ENSG00000114383.9_3",2406,391,484,441,413
"ENSG00000068028.17_3",3683,131,174,105,95
"ENSG00000281358.1_4",790,2,5,0,0
"ENSG00000004838.13_3",4009,17,18,25,24
"ENSG00000114388.12_2",3677,264,293,219,269
"ENSG00000114395.10_3",2086,20,35,28,23
"ENSG00000126062.3_2",2197,334,565,501,424
"ENSG00000007402.11_3",6322,2,3,7,3
"ENSG00000088543.14_2",3248,28,47,44,32
"ENSG00000114735.9_3",19425,372,402,426,471
"ENSG00000114737.15_2",5112,90,67,98,106
"ENSG00000114738.10_2",3921,976,1064,901,986
"ENSG00000273356.1_4",2060,1,3,9,15
"ENSG00000088538.12_2",8755,9,6,3,12
"ENSG00000145050.16_3",2383,2157,2604,1211,1051
"ENSG00000259956.1_2",6641,1418,1736,1208,1067
"ENSG00000145041.15_5",6690,1385,1558,1023,914
"ENSG00000164080.13_3",11924,709,781,845,827
"ENSG00000164081.12_5",5688,484,489,462,483
"ENSG00000114767.6_2",1578,492,588,330,276
"ENSG00000041880.14_4",2928,699,739,589,679
"ENSG00000280422.1_5",2054,7,2,3,4
"ENSG00000090097.21_4",3738,974,1076,788,792
"ENSG00000114779.19_4",3161,1589,1658,1129,1266
"ENSG00000248487.8_3",2378,133,157,180,187
"ENSG00000243989.8_3",4794,22,27,19,23
"ENSG00000162244.11_5",2058,5863,6936,6629,6634
"ENSG00000285685.1_1",928,1,3,2,8
"ENSG00000164086.9_3",5648,655,679,406,366
"ENSG00000164087.7_4",2247,271,338,73,81
"ENSG00000023330.14_2",2536,1008,1083,798,734
"ENSG00000247596.8_3",1824,135,211,123,129
"ENSG00000243224.1_5",1101,10,5,7,3
"ENSG00000164088.17_3",3571,88,77,103,66
"ENSG00000164091.11_2",5726,2243,2427,1546,1404
"ENSG00000168237.17_2",3013,298,386,511,439
"ENSG00000242797.3_4",1391,4,6,0,2
"ENSG00000114841.17_3",13872,47,67,416,371
"ENSG00000239557.1_5",1231,8,7,6,8
"ENSG00000163930.9_2",5055,1041,1341,948,933
"ENSG00000010318.20_3",3367,109,119,105,101
"ENSG00000010319.6_3",5011,347,515,569,445
"ENSG00000114854.7_3",1168,139,166,63,74
"ENSG00000010322.15_3",9161,1332,1485,1602,1435
"ENSG00000010327.10_2",10588,1,2,7,0
"ENSG00000168268.10_2",4719,3026,3673,2920,2733
"ENSG00000168273.7_2",2482,142,166,193,183
"ENSG00000163939.18_5",9654,2062,2293,1280,1177
"ENSG00000163938.16_3",3318,3347,3915,2061,1840
"ENSG00000212493.1",68,4,7,2,6
"ENSG00000222345.1",76,4,10,4,7
"ENSG00000212452.1",77,44,23,31,45
"ENSG00000016864.18_5",3783,920,1072,1478,1224
"ENSG00000114902.13_3",5324,913,994,1000,967
"ENSG00000114904.12_2",6391,905,936,855,817
"ENSG00000055957.10_2",4544,121,209,1520,1312
"ENSG00000162267.12_3",5921,2963,5451,24891,20833
"ENSG00000055955.15_3",5462,4,4,14,10
"ENSG00000243696.4_6",6315,22,16,4,22
"ENSG00000248592.7_3",6271,1,6,2,2
"ENSG00000213533.11_4",5730,23,30,21,28
"ENSG00000163935.13_3",5676,359,371,393,361
"ENSG00000280417.1_5",1957,1,2,12,10
"ENSG00000163933.9_3",5488,494,607,364,305
"ENSG00000163932.13_5",3396,712,906,598,575
"ENSG00000163931.15_2",9507,4237,5528,3682,3243
"ENSG00000272886.5_5",6125,1122,1198,754,807
"ENSG00000157388.16_5",20588,5,3,6,8
"ENSG00000271916.1_5",256,2,2,11,9
"ENSG00000016391.10_4",7758,1699,2267,2786,2460
"ENSG00000056736.9_3",3038,1814,2369,1552,1319
"ENSG00000271976.1_5",2583,79,64,57,65
"ENSG00000113812.13_3",4066,486,577,457,364
"ENSG00000113811.10_4",2165,124,152,131,117
"ENSG00000229806.1_4",432,4,5,2,4
"ENSG00000187672.12_2",7933,7,10,1,3
"ENSG00000180376.16_4",9267,647,683,495,448
"ENSG00000163946.13_3",9824,1755,2078,1514,1343
"ENSG00000163947.11_4",6594,1367,1332,871,828
"ENSG00000186451.1_2",2413,12,7,4,2
"ENSG00000144730.17_2",9561,80,60,33,11
"ENSG00000163666.9_4",1493,10,7,2,1
"ENSG00000157500.11_4",7513,1703,1789,690,572
"ENSG00000174844.14_3",10690,7,8,14,11
"ENSG00000174840.8_2",8947,830,847,497,448
"ENSG00000168374.10_3",2595,3911,4061,3826,3746
"ENSG00000272146.5_4",597,5,0,5,2
"ENSG00000174839.12_2",5124,495,528,355,269
"ENSG00000163681.14_4",14147,2207,2333,1034,922
"ENSG00000136068.14_3",13952,9670,12104,10138,9100
"ENSG00000283511.1_5",1659,5,5,4,0
"ENSG00000163687.13_5",3148,13,15,17,8
"ENSG00000163686.14_3",3589,236,254,259,248
"ENSG00000163684.11_3",8374,326,319,319,278
"ENSG00000255154.7_6",2119,4,1,3,5
"ENSG00000168297.15_3",5354,354,357,282,239
"ENSG00000168291.12_3",4717,1167,1481,1522,1311
"ENSG00000168301.12_3",3068,148,168,165,129
"ENSG00000168306.12_2",3859,464,603,721,698
"ENSG00000243384.1_5",350,1,4,11,6
"ENSG00000189283.9_3",5439,51,71,75,68
"ENSG00000144724.19_3",14629,1701,1843,1670,1493
"ENSG00000226360.5_4",652,29,47,31,21
"ENSG00000237456.3_5",405,7,4,1,3
"ENSG00000224479.6_6",3606,0,1,5,3
"ENSG00000163634.11_4",1784,1024,1149,746,732
"ENSG00000285399.2_2",5642,23,15,19,22
"ENSG00000285258.1_2",7478,2,2,2,6
"ENSG00000163635.18_4",9183,33,30,30,35
"ENSG00000239653.1_6",2456,55,78,53,47
"ENSG00000163636.10_3",9123,1006,1123,804,812
"ENSG00000163637.12_4",14747,14,5,49,67
"ENSG00000163638.13_3",10680,22,5,14,9
"ENSG00000151276.23_3",11649,2156,2404,2007,1851
"ENSG00000270059.1_6",450,3,8,4,9
"ENSG00000272610.1_3",2567,9,4,6,8
"ENSG00000144741.17_2",5850,182,199,155,154
"ENSG00000144749.13_3",7032,578,720,832,789
"ENSG00000163376.11_2",4736,136,147,48,51
"ENSG00000241884.2_5",2110,19,14,9,9
"ENSG00000172340.14_4",3090,1337,1599,1071,994
"ENSG00000241316.7_5",3352,23,29,20,23
"ENSG00000214552.4_4",627,5,3,0,2
"ENSG00000241506.1_4",1320,48,42,17,14
"ENSG00000163377.15_2",3297,32,32,34,28
"ENSG00000163378.13_4",5645,894,792,563,522
"ENSG00000244513.6_6",3746,3,12,4,0
"ENSG00000144747.16_4",7911,1599,1895,1196,1087
"ENSG00000144744.16_2",4106,1564,1597,955,1010
"ENSG00000144746.6_2",2522,1289,1155,1024,1077
"ENSG00000114541.14_3",9993,76,106,83,66
"ENSG00000187098.15_4",7181,22,19,7,4
"ENSG00000114861.20_5",36714,511,558,539,554
"ENSG00000242094.1_5",3539,6,6,10,1
"ENSG00000270562.1_5",2467,10,8,22,9
"ENSG00000163412.12_3",10779,14,8,13,6
"ENSG00000243083.6_4",3739,66,58,76,95
"ENSG00000272774.1_5",532,5,0,3,1
"ENSG00000163602.10_3",7215,1454,1625,1154,1120
